Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_DLC3_MOUNTEGG_NAME,Text,,HAMMERFALL CRATER,,CRATÈRE HAMMERFALL,,,,,,
KEY_DLC3_THE_GIFT,Text,,AURORA,,AURORA,,,,,,
KEY_MARKETPLACE_HAVEN_ADDITIONAL_HEADER,Text,,The Bazaar,,Le Bazar,,,,,,
KEY_MARKETPLACE_DESCRIPTION_1,Text,not used,"The leader of the haven, Sol ""Maker"" Markus, is fascinated by the esoteric and the occult. He has requested that we retrieve a Drop-Ka stone that he has located in a Pre-War collection. ",,"Le chef du refuge, Sol ""Maker"" Markus, est fasciné par l’ésotérique et l’occulte. Il a demandé que nous récupérions une pierre Drop-Ka qu’il a localisée dans une collection d’avant-guerre. ",,,,,,
KEY_MARKETPLACE_DESCRIPTION_2,Text,not used,Sol is happy and reminds us to do as we are told if we want to receive further blessings,,"Sol est heureux et nous rappelle de faire ce qu’on nous dit, si nous voulons recevoir d’autres bénédictions",,,,,,
KEY_MARKETPLACE_DESCRIPTION_3,Text,not used,Sol has received the Bionics tech. He hints that Subject 24 should be destroyed.,,Sol a reçu la technologie bionique. Il suggère que le sujet 24 devrait être détruit.,,,,,,
KEY_MARKETPLACE_DESCRIPTION_4,Text,not used,Sol is happy because we destroyed the fortress,,Sol est content car nous avons détruit la forteresse,,,,,,
KEY_MARKETPLACE_DESCRIPTION_5,Text,,Enjoy the sights and pungent smells! ,,Profitez des vues et des odeurs âcres !,,,,,,
DLC5/KEY_MARKETPLACE_HAVEN_HEADER,Text,,BAZAAR HAVEN,,REFUGE DU BAZAR,,,,,,
DLC5/KEY_KAOS_SYNDICATE,Text,,The Bazaar,,Le Bazar,,,,,,
DLC5/KEY_MARKETPLACE_ACCEPT_MISSION,Text,not used,ACCEPT ,,ACCEPTER,,,,,,
DLC5/KEY_MARKETPLACE_LOCATE_MISSION,Text,not used,DO NOT TRY SOL'S PATIENCE,,N'ESSAYEZ PAS LA PATIENCE DE SOL,,,,,,
DLC5/KEY_MARKETPLACE_MISSION_AVAILABLE,Text,not used,NEW MISSION AVAILABLE,,NOUVELLE MISSION DISPONIBLE,,,,,,
DLC5/KEY_MARKETPLACE_MISSION_IN_PROGRESS,Text,not used,DO AS SOL COMMANDS,,FAITES CE QUE SOL VOUS DEMANDE,,,,,,
DLC5/KEY_MARKETPLACE_NO_MISSIONS,Text,not used,SOL IS PLEASED,,SOL EST SATISFAIT,,,,,,
KEY_MISSION_HAVEN_INFESTED_VICTORY_NAME,Text,,MISSION COMPLETE,,MISSION ACCOMPLIE,,,,,,
KEY_MISSION_HAVEN_INFESTED_VICTORY_DESCRIPTION,Text,,NODE DESTROYED,,NŒUD DÉTRUIT,,,,,,
KEY_MISSION_HAVEN_INFESTED_DEFEAT_DESCRIPTION,Text,,Infestation remains.,,L'infestation demeure.,,,,,,
KEY_GEOSCAPE_HAVEN_INFESTED,Text,,"A haven in the Mist, has succumbed to Pandoran infestation!",,"Un refuge dans la brume, a succombé à l'infestation pandorienne !",,,,,,
KEY_MISSION_HAVEN_INFESTED_NAME,Text,,INFESTED HAVEN,,REFUGE INFESTÉ,,,,,,
KEY_MISSION_HAVEN_INFESTED_DESCRIPTION,Text,,Cleanse the infestation,,Nettoyer l'infestation,,,,,,
DLC2 Necronomicon/KEY_EXCAVATE_POPUP_BUTTON,Text,,EXPLORE,,EXPLORER,,,,,,
DLC2 Necronomicon/KEY_EXCAVATE_POPUP_DESCRIPTION,Text,,"The valley below is lush, almost primordial. Nature or the old Earth, untarnished by the Pandoravirus. Places like these can still be found on the planet; less than 20 years ago they were covered by water or sediment. The Earth was transformed, washed, dried, swept away, bringing back to sight and life a world hidden a long, long time ago.",,"La vallée en contrebas est luxuriante, presque primordiale. La nature ou la vieille Terre, non ternie par le Pandoravirus. Des endroits comme ceux-ci peuvent encore être trouvés sur la planète ; il y a moins de 20 ans, ils étaient recouverts d'eau ou de sédiments. La Terre a été transformée, lavée, séchée, balayée, ramenant à la vue et à la vie un monde caché il y a très, très longtemps.",,,,,,
DLC2 Necronomicon/KEY_EXCAVATE_POPUP_LISTCOSTS,Text,,We will release a number of short-range drones to map the area and locate the ancient ruins,,Nous allons lancer un certain nombre de drones à courte portée pour cartographier la zone et localiser les ruines antiques.,,,,,,
KEY_GEO_ABILITY_EXCAVATE_SITE_NAME,Text,,EXPLORE,,EXPLORER,,,,,,
KEY_FACTION_ANCIENTS,Text,,Ancient Automata,,Automates anciens,,,,,,
KEY_GEO_ABILITY_EXCAVATE_SITE_DESCRIPTION,Text,,Find the ancient ruins,,Trouvez les ruines antiques,,,,,,
DLC2 Necronomicon/KEY_EXCAVATE_POPUP_NAME,Text,,MAP THE GREEN,,CARTOGRAPHIER LE VERT,,,,,,
KEY_AC_METAINFO_HARVEST,Text,,Explore to uncover the secrets of the Ancients,,Explorez pour découvrir les secrets des Anciens,,,,,,
KEY_AC_METAINFO_REFINERY,Text,,Explore to uncover the secrets of the Ancients,,Explorez pour découvrir les secrets des Anciens,,,,,,
KEY_AC_PROTEAN_HARVEST,Text,,ANCIENT RUINS,,RUINES ANTIQUES,,,,,,
KEY_AC_PROTEAN_REFINERY,Text,,ANCIENT RUINS,,RUINES ANTIQUES,,,,,,
KEY_AC_ORICHALCUM_HARVEST,Text,,ANCIENT RUINS,,RUINES ANTIQUES,,,,,,
KEY_AC_ORICHALCUM_REFINERY,Text,,ANCIENT RUINS,,RUINES ANTIQUES,,,,,,
KEY_AC_CRYSTAL_HARVEST,Text,,ANCIENT RUINS,,RUINES ANTIQUES,,,,,,
KEY_AC_CRYSTAL_REFINERY,Text,,ANCIENT RUINS,,RUINES ANTIQUES,,,,,,
KEY_DEPLOYGUARDIAN_POPUP_BUTTON,Text,,REACTIVATE BROKEN CYCLOPS,,RÉACTIVER LES CYCLOPES CASSÉS,,,,,,
KEY_DEPLOYGUARDIAN_POPUP_DESCRIPTION,Text,,Reactivate a broken cyclops to access its memory and learn what really happened to the Ancients,,Réactivez un cyclope brisé pour accéder à sa mémoire et découvrir ce qui est réellement arrivé aux Anciens,,,,,,
KEY_DEPLOYGUARDIAN_POPUP_LISTCOSTS,Text,,COST OF REPAIRS,,COÛT DES RÉPARATIONS,,,,,,
KEY_DEPLOYGUARDIAN_POPUP_NAME,Text,,REACTIVATE BROKEN CYCLOPS,,RÉACTIVER LES CYCLOPES CASSÉS,,,,,,
KEY_GEO_ANCIENT_GUARDIAN_GUARD_DESCRIPTION,Text,,Reactivate a broken cyclops to access its memory and learn what really happened to the Ancients,,Réactivez un cyclope brisé pour accéder à sa mémoire et découvrir ce qui est réellement arrivé aux Anciens,,,,,,
KEY_GEO_ANCIENT_GUARDIAN_GUARD_NAME,Text,,REACTIVATE BROKEN CYCLOPS,,RÉACTIVER LES CYCLOPES CASSÉS,,,,,,
KEY_MESSAGE_MISSING_REFINERY,Text,,YOU HAVE NOT RESEARCHED ALL THE REQUIRED TECHNOLOGIES,,VOUS N'AVEZ PAS RECHERCHÉ TOUTES LES TECHNOLOGIES REQUISES,,,,,,
KEY_AC_PROTEAN_HARVEST_AFTER_REVEAL,Text,,PROTEAN MUTANE SITE,,SITE DE MUTANE PROTÉIFORME,,,,,,
KEY_AC_PROTEAN_REFINERY_AFTER_REVEAL,Text,,PROTEAN MUTANE SITE,,SITE DE MUTANE PROTÉIFORME,,,,,,
KEY_AC_ORICHALCUM_HARVEST_AFTER_REVEAL,Text,,ORICHALCUM SITE,,SITE D'ORICHALQUE,,,,,,
KEY_AC_ORICHALCUM_REFINERY_AFTER_REVEAL,Text,,ORICHALCUM SITE,,SITE D'ORICHALQUE,,,,,,
KEY_AC_CRYSTAL_HARVEST_AFTER_REVEAL,Text,,LIVING CRYSTAL SITE,,SITE DE CRISTAL VIVANT,,,,,,
KEY_AC_CRYSTAL_REFINERY_AFTER_REVEAL,Text,,LIVING CRYSTAL SITE,,SITE DE CRISTAL VIVANT,,,,,,
KEY_AC_TOP_LIVINGCRYSTAL,Text,,LIVING CRYSTAL,,CRISTAL VIVANT,,,,,,
KEY_AC_TOP_ORICHALCUM,Text,,ORICHALCUM,,ORICHALQUE,,,,,,
KEY_AC_TOP_PROTEANMUTANE,Text,,PROTEAN MUTANE,,MUTANE PROTÉIFORME,,,,,,
BUILD_CYCLOPS_OBJECTIVE,Text,,Reactivate a Cyclops at one of the Ancient Sites under your control,,Réactivez un Cyclope sur l'un des sites antiques sous votre contrôle,,,,,,
OBTAIN_LC_OBJECTIVE,Text,,Obtain a Living Crystal sample,,Obtenez un échantillon de cristal vivant,,,,,,
OBTAIN_PM_OBJECTIVE,Text,,Obtain a Protean Mutane sample,,Obtenir un échantillon de Mutane protéiforme,,,,,,
PROTECT_THE_CYCLOPS_OBJECTIVE_GEO_TITLE,Text,,Protect the Cyclops from the Pandoran attack,,Protégez les Cyclopes de l'attaque des Pandoriens,,,,,,
DELIRIUM_STAMINA_TOOLTIP,Text,,Character's current Stamina is reducing the effects of Delirium on Willpower by,,L'Endurance actuelle du personnage réduit les effets du Délirium sur la Volonté de,,,,,,
BASEDEFENSE_BRIEFING_OBJECTIVES_SIMPLE,Text,,Scatter the attackers.,,Dispersez les attaquants.,,,,,,
BASEDEFENSE_BRIEFING_OBJECTIVES_DOUBLE,Text,,Destroy all Pandoran structures and scatter the remaining attackers. ,,Détruisez toutes les structures Pandoriennes et dispersez les attaquants restants.,,,,,,
BASEDEFENSE_BRIEFING_TACTICALADVANTAGE,Text,,"If we take the attackers on now, we can take optimal defensive positions. The mission gets harder over time. If we fail, we lose control of the base.",,"Si nous affrontons les attaquants maintenant, nous pouvons prendre des positions défensives optimales. La mission devient plus difficile avec le temps. Si nous échouons, nous perdons le contrôle de la base.",,,,,,
BASEDEFENSE_BRIEFING_NESTING,Text,,"The enemy has breached our defenses and has spread throughout the base. It can yet get worse. If we fail, we lose control of the base.",,"L'ennemi a percé nos défenses et s'est répandu dans toute la base. Cela peut encore empirer. Si nous échouons, nous perdons le contrôle de la base.",,,,,,
BASEDEFENSE_BRIEFING_INFESTATION,Text,,"Security footage shows the Pandorans have almost taken over the base. If we fail, we lose control of the base.",,"Les images de sécurité montrent que les Pandoriens ont presque pris le contrôle de la base. Si nous échouons, nous perdons le contrôle de la base.",,,,,,
DLC4 Hypnos/KEY_BRIEFING_INFECTED_AREA,Text,,DELIRIUM AREA,,ZONE DE DÉLIRIUM,,,,,,
DLC4 Hypnos/KEY_CURE_CORRUPTION_DIALOG_BOTTOM,Text,,Warning! Treating Delirium using mutagens is an experimental procedure. Severe side effects should be expected.,,Attention ! Le traitement du délire par des mutagènes est une procédure expérimentale. Il faut s'attendre à des effets secondaires graves.,,,,,,
KEY_CURE_CORRUPTION_DIALOG_DESCRIPTION,Text,,Your soldier has {0}% Delirium damage.,,Votre soldat subit {0} % de dégâts de Délirium.,,,,,,
DLC4 Hypnos/KEY_CURE_CORRUPTION_DIALOG_TITLE,Text,,EXPERIMENTAL TREATMENT,,TRAITEMENT EXPÉRIMENTAL,,,,,,
KEY_ROSTER_DEATH_CORRUPTED,Text,,DELIRIUM,,DÉLIRIUM,,,,,,
DLC4 Hypnos/KEY_ROSTER_DEATH_CORRUPTED,Text,,DELIRIUM,,DÉLIRIUM,,,,,,
EXTENDED_AGENDA_KEY_UNEXPLORED_SITE,Text,,UNEXPLORED SITE,,SITE INEXPLORÉ,,,,,,
EXTENDED_AGENDA_KEY_EXPLORATION_SITE,Text,,EXPLORATION SITE,,SITE D'EXPLORATION,,,,,,
EXTENDED_AGENDA_KEY_SCAVENGING_SITE,Text,,SCAVENGING SITE,,SITE DE RÉCUPÉRATION,,,,,,
EXTENDED_AGENDA_KEY_ANCIENT_SITE,Text,,ANCIENT SITE,,SITE ANTIQUE,,,,,,
EXTENDED_AGENDA_KEY_INVESTIGATES,Text,,INVESTIGATES,,ENQUÊTE,,,,,,
EXTENDED_AGENDA_KEY_TRAVELS_TO,Text,,TRAVELS TO,,VOYAGE VERS,,,,,,
EXTENDED_AGENDA_KEY_REPAIRING,Text,,REPAIRING:,,RÉPARATION :,,,,,,
EXTENDED_AGENDA_KEY_EXCAVATING,Text,,EXCAVATING:,,EXCAVATION :,,,,,,
EXTENDED_AGENDA_KEY_SECURE,Text,,SECURE,,SÉCURISE,,,,,,
EXTENDED_AGENDA_KEY_WILL_ATTACK,Text,,WILL ATTACK:,,ATTAQUERA :,,,,,,
EXTENDED_AGENDA_KEY_WILL_COMPLETE_ATTACK_ON,Text,,WILL COMPLETE ATTACK ON,,TERMINERA L'ATTAQUE SUR,,,,,,
KEY_DESTROYED_HAMMERFALL,Text,,was destroyed by Hammerfall!,,a été détruit par Hammerfall !,,,,,,
KEY_HEAVY_DAMAGE_HAMMERFALL,Text,,suffered heavy damage from Harmmerfall!,,a subi de lourds dégâts à cause de Harmmerfall !,,,,,,
KEY_DAMAGE_HAMMERFALL,Text,,suffered some damage from Hammerfall,,a subi quelques dégâts à cause d'Hammerfall,,,,,,
KEY_SOS_BROADCAST,Text,,"is broadcasting an SOS, they are under attack!",,"diffuse un SOS, ils sont attaqués !",,,,,,
KEY_PANDORAN_MEAT_PROCESSING,Text,,<b>Processing Pandoran meat</b>,,<b>Transformation de la viande Pandorienne</b>,,,,,,
KEY_PANDORAN_MEAT_TO_PROCESS,Text,,-Meat to process:,,-Viande à transformer :,,,,,,
KEY_PANDORAN_MEAT_STORAGE,Text,,-Max storage:,,-Stockage maximum :,,,,,,
KEY_PANDORAN_MEAT_MAX_PROCESS,Text,,-Max processing per day:,,-Traitement maximum par jour :,,,,,,
KEY_EXTRACTING_MUTAGENS_TFTV,Text,,<b>Extracting mutagens from captured Pandorans</b>,,<b>Extraction des mutagènes des Pandoriens capturés</b>,,,,,,
KEY_MUTAGENS_FROM_FACILITIES_TFTV,Text,,-Mutagens from facilities:,,-Mutagènes des installations :,,,,,,
KEY_MUTAGENS_FROM_PANDORANS_TFTV,Text,,-Mutagens from Pandorans:,,-Mutagènes de Pandoriens :,,,,,,
KEY_MAX_EXTRACTION_PER_DAY_TFTV,Text,,-Max extraction per day:,,-Extraction maximale par jour :,,,,,,
KEY_FOOD_PROCESSING_WARNING_TFTV,Text,,Food processing facilities storage capacity almost reached! Rendering this Pandoran for food will waste,,La capacité de stockage des installations de transformation alimentaire est presque atteinte ! Rendre ce Pandorien pour la nourriture gaspillera,,,,,,
KEY_DELIRIUM_PERK_PROMPT_CONNECTOR,Text,,is afflicted with,,est affligé de,,,,,,
