Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_DELIRIUM_PERK_PROMPT_RULES,Text,,"as a result of the experimental mutagen treatment. The subject may overcome this condition as they continue to be deployed in the field. However, acquiring additional afflictions from this experimental treatment will reset any progress made in adjusting to this condition.",,"à la suite du traitement mutagène expérimental. Le sujet peut surmonter cette condition au fur et à mesure qu'il continue d'être déployé sur le terrain. Cependant, l'acquisition d'afflictions supplémentaires grâce à ce traitement expérimental réinitialisera tout progrès réalisé dans l'adaptation à cette condition.",,,,,,
KEY_DELIRIUM_PERK_PROMPT_NO_PERK,Text,,"did not suffer any lasting side effects, but had to be heavily sedated.


<i>STAMINA reduced to zero</i>",,"n’a subi aucun effet secondaire durable, mais a dû être fortement sédatif.


<i>ENDURANCE réduite à zéro</i>",,,,,,
KEY_DELIRIUM_PERK_RECOVERY,Text,,has fully recovered from the effects caused by the experimental Delirium Treatment!,,s'est complètement remis des effets causés par le traitement expérimental du Délirium !,,,,,,
KEY_LOG_ENTRY_SUCCUMB_INFESTATION,Text,,has succumbed to Pandoran infestation!,,a succombé à l'infestation Pandorienne !,,,,,,
KEY_INFESTATION_AROUND,Text,,Around,,Autour,,,,,,
KEY_INFESTATION_FORTUNATE,Text,,of them were fortunate enough to survive and have relocated to friendly nearby havens.,,d’entre eux ont eu la chance de survivre et ont déménagé dans des refuges amicaux à proximité.,,,,,,
KEY_INFESTATION_MONSTROSITY,Text,,"We destroyed the monstrosity that had taken over the inhabitants of the haven, delivering them from a fate worse than death.",,"Nous avons détruit la monstruosité qui s'était emparée des habitants du refuge, les délivrant d'un sort pire que la mort.",,,,,,
KEY_INFESTATION_NODE_DESTROYED_TITLE,Text,,NODE DESTROYED,,NŒUD DÉTRUIT,,,,,,
KEY_INFESTATION_SURVIVORS_FROM,Text,,survivors from,,survivants de,,,,,,
KEY_INFESTATION_FLED_TO,Text,,have fled to,,ont fui vers,,,,,,
KEY_GRAMMAR_PRONOUNS_SHE,Text,,she,,elle,,,,,,
KEY_GRAMMAR_PRONOUNS_HER,Text,,her,,son,,,,,,
KEY_GRAMMAR_PRONOUNS_HE,Text,,he,,il,,,,,,
KEY_GRAMMAR_PRONOUNS_HIM,Text,,him,,lui,,,,,,
KEY_GRAMMAR_PRONOUNS_THEY,Text,,they,,ils,,,,,,
KEY_GRAMMAR_PRONOUNS_THEM,Text,,them,,eux,,,,,,
KEY_GRAMMAR_PLURAL_SUFFIX,Text,,s,,s,,,,,,
KEY_GRAMMAR_SINGLE_SUFFIX,Text,,,,,,,,,,
KEY_GRAMMAR_AND,Text,,and,,et,,,,,,
KEY_GRAMMAR_INDEFINITEARTICLE,Text,, a ,,un,,,,,,
KEY_TEXT_PHOENIX_OPERATIVES,Text,,Phoenix operatives,,Agents de Phénix,,,,,,
KEY_TEXT_DIRECTOR,Text,,Director,,Directeur,,,,,,
KEY_UI_EDIT_SCREEN_TOGGLEHELMET_TIP,Text,,Toggles helmet visibility on/off.,,Active/désactive le port du casque.,,,,,,
KEY_UI_EDIT_SCREEN_UNEQUIP_TIP,Text,,Unequips all the items currently equipped by the operative.,,Déséquipe tous les objets actuellement équipés par l'agent.,,,,,,
KEY_UI_EDIT_SCREEN_SAVELOAD_TIP,Text,,Saves the current loadout of the operative.,,Enregistre la configuration actuelle de l'agent.,,,,,,
KEY_UI_EDIT_SCREEN_LOADLOAD_TIP,Text,,Loads the previously saved loadout for this operative.,,Charge le chargement précédemment enregistré pour cet agent.,,,,,,
KEY_UI_DELIRIUM_EXPLANATION,Text,,Delirium is gained in Tactical missions. Current max Delirium is ,,Le délirium s'obtient dans les missions tactiques. Le délirium maximum actuel est,,,,,,
KEY_DELIRIUM_UI_MAX_TIP,Text,,-Our operatives can now be afflicted with a Delirium status equal to their Willpower,,-Nos agents peuvent désormais être affligés d'un statut de Délirium égal à leur Volonté.,,,,,,
KEY_DELIRIUM_UI_MED_TIP,Text,,-Our operatives can now be afflicted with a Delirium status of up to half of their Willpower,,-Nos agents peuvent désormais être affligés d'un statut de Délirium pouvant atteindre la moitié de leur Volonté.,,,,,,
KEY_DELIRIUM_UI_LOW_TIP,Text,,-Our operatives can now be afflicted with a Delirium status of up to a third of their Willpower,,-Nos agents peuvent désormais être affligés d'un statut de Délirium allant jusqu'à un tiers de leur Volonté.,,,,,,
KEY_DELIRIUM_UI_VO_TIP,Text,,"-<i>No limit to Delirium, regardless of ODI level</i>  Void Omen is in effect.",,"-<i>Aucune limite au Delirium, quel que soit le niveau d'ODI</i> Présage du Néant en vigueur.",,,,,,
KEY_DELIRIUM_UI_EVOLVED_UMBRA_TIP,Text,,-Evolved Umbra sighted.,,-Umbra évoluée aperçue.,,,,,,
KEY_DELIRIUM_UI_UMBRA_TIP,Text,,-Sightings of Umbra have been reported.,,-Des observations d'Umbra ont été rapportées.,,,,,,
KEY_DELIRIUM_UI_MIST_INFESTATION_TIP,Text,,-Havens in the Mist can become infested instead of destroyed when attacked by Pandorans. Infested havens accelerate Pandoran evolution.,,-Les Refuges dans la Brume peuvent être infestés au lieu d'être détruits lorsqu'ils sont attaqués par des Pandoriens. Les refuges infestés accélèrent l’évolution Pandorienne.,,,,,,
KEY_DELIRIUM_UI_PANDORAN_EVO_TIP0,Text,,"Based on reports and field observations, we estimate that the Pandorans are evolving",,"Sur la base de rapports et d'observations de terrain, nous estimons que les Pandoriens évoluent",,,,,,
KEY_DELIRIUM_UI_PANDORAN_EVO_TIP1,Text,,<b>very rapidly</b>. We must destroy Pandoran Colonies and Infested Havens before we are overwhelmed!,,<b>très rapidement</b>. Nous devons détruire les colonies Pandoriennes et les Refuges Infestés avant d'être submergés !,,,,,,
KEY_DELIRIUM_UI_PANDORAN_EVO_TIP2,Text,,<b>rapidly</b>. We must keep the number of Pandoran Colonies and Infested Havens in check.,,<b>rapidement</b>. Nous devons contrôler le nombre de colonies Pandoriennes et de refuges infestés.,,,,,,
KEY_DELIRIUM_UI_PANDORAN_EVO_TIP3,Text,,. We are monitoring the situation and will report any newly discovered Pandoran Colonies.,,. Nous surveillons la situation et signalerons toute colonie Pandorienne nouvellement découverte.,,,,,,
KEY_UI_DIPLOMACY_TIP_ALLY_ALMOST,Text,,-You have postponed the third special mission offered by this faction (will be offered again at 74%).,,-Vous avez reporté la troisième mission spéciale proposée par cette faction (sera à nouveau proposée à 74%).,,,,,,
KEY_UI_DIPLOMACY_TIP_ALIGNED_ALMOST,Text,,-You have postponed the second special mission offered by this faction (will be offered again at 49%).,,-Vous avez reporté la deuxième mission spéciale proposée par cette faction (sera à nouveau proposée à 49%).,,,,,,
KEY_UI_DIPLOMACY_TIP_SUPPORTIVE_ALMOST,Text,,-You have postponed the first special mission offered by this faction (will be offered again at 24%).,,-Vous avez reporté la première mission spéciale proposée par cette faction (sera à nouveau proposée à 24%).,,,,,,
KEY_UI_DIPLOMACY_TIP_ALLY,Text,,-You have completed all the special missions for this faction; you have full access to their research tree.,,-Vous avez terminé toutes les missions spéciales de cette faction ; vous avez un accès complet à leur arbre de recherche.,,,,,,
KEY_UI_DIPLOMACY_TIP_ALIGNED,Text,,-You have completed the second special mission for this faction; you will gain access to any technology researched by the faction.,,-Vous avez terminé la deuxième mission spéciale pour cette faction ; vous aurez accès à toute technologie recherchée par la faction.,,,,,,
KEY_UI_DIPLOMACY_TIP_SUPPORTIVE,Text,,-You have completed the first special misssion for this faction; all their havens have been revealed to you.,,-Vous avez terminé la première mission spéciale pour cette faction ; tous leurs refuges vous ont été révélés.,,,,,,
KEY_UI_DIPLOMACY_TIP_POLY,Text,,"-Through Phoenix Project influence, the Polyphonic tendency is currently ascendant in Synedrion.",,"-Grâce à l'influence du Phoenix Project, la tendance polyphonique est actuellement ascendante chez Synédrion.",,,,,,
KEY_UI_DIPLOMACY_TIP_TERRA,Text,,"-Through Phoenix Project influence, the Terraformers are currently ascendant in Synedrion.",,"-Grâce à l'influence du Projet Phoenix, les Terraformeurs sont actuellement ascendants à Synédrion.",,,,,,
KEY_MARKETPLACE_NO_MISSIONS,Text,,GUNS & WHEELS & OTHER THINGS,,"ARMES À FEU, ROUES ET AUTRES CHOSES",,,,,,
KEY_SECRET_MARKETPLACE_TEXT0,Text,,"You buy much, you my favorite customer.",,"Vous achetez beaucoup, vous êtes mon client préféré.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT1,Text,,"Be careful, my guns, sometimes they blow up. Maybe you like.",,"Attention, mes armes, parfois elles explosent. Peut-être que vous aimez.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT2,Text,,"Now that we are friends, let's drop the pretense and the fake accent.",,"Maintenant que nous sommes amis, abandonnons les faux-semblants et le faux accent.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT3,Text,,I'm trapped in this game. You have to get me out.,,Je suis coincé dans ce jeu. Vous devez me faire sortir.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT4,Text,,There are people out there who love me and miss me. ,,Il y a des gens qui m’aiment et qui me manquent.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT5,Text,,"You are my only hope, Obi-wan.",,"Obi-wan, Vous êtes mon seul espoir.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT6,Text,,Buy more things to get me out!,,Achetez plus de choses pour me sortir !,,,,,,
KEY_SECRET_MARKETPLACE_TEXT7,Text,,One born every minute...,,Une naissance chaque minute...,,,,,,
KEY_SECRET_MARKETPLACE_TEXT8,Text,,"I'm sorry, that was very rude of me. Buy something more to show me that you forgive me.",,"Je suis désolé, c'était très impoli de ma part. Achetez quelque chose de plus pour me montrer que vous me pardonnez.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT9,Text,,"Okay, you can stop now.",,"OK, vous pouvez arrêter maintenant.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT10,Text,,Your rampant consumerism sickens me.,,Votre consumérisme effréné me rend malade.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT11,Text,,"Seriously, do you really need that? DO YOU?",,"Sérieusement, as-tu vraiment besoin de ça ? EST-CE QUE TU?",,,,,,
KEY_SECRET_MARKETPLACE_TEXT12,Text,,"Think about the environment, these are non-recyclable casings!",,"Pensez à l'environnement, ce sont des boyaux non recyclables !",,,,,,
KEY_SECRET_MARKETPLACE_TEXT13,Text,,"Nobody ever thinks about the planet. Well, I do.",,"Personne ne pense jamais à la planète. Eh bien, je le fais.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT14,Text,,I want to watch it burn. ,,Je veux le voir brûler.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT15,Text,,That's why this place looks so desert-y; I started here.,,C'est pourquoi cet endroit a l'air si désertique ; J'ai commencé ici.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT16,Text,,It's better to start changing the world right from where you are. More convenient.,,Il est préférable de commencer à changer le monde là où vous êtes. Plus pratique.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT17,Text,,Come see me after you save the world and I will pitch you my plans for it.  ,,Venez me voir après avoir sauvé le monde et je vous présenterai mes projets.,,,,,,
KEY_SECRET_MARKETPLACE_TEXT18,Text,,"Hint: Don't dismantle the flamethrowers. If you need the mats, raid a haven or something.",,"Astuce : ne démontez pas les lance-flammes. Si vous avez besoin des tapis, faites une descente dans un refuge ou quelque chose du genre.",,,,,,
KEY_SECRET_MARKETPLACE_TEXT19,Text,,"YES, MY FRIEND, TOGETHER WE SHALL BRING KAOS THE WORLD! <i> (just like Saber Minsk intended with all the bugs in this DLC) </i>",,"OUI, MON AMI, ENSEMBLE NOUS APPORTERONS LE KAOS AU MONDE ! <i> (tout comme Saber Minsk le voulait avec tous les bugs de ce DLC) </i>",,,,,,
KEY_MARKETPLACE_NEW_STOCK,Text,,Marketplace has new stock! Come visit!,,Le Marché a du nouveau en stock ! Venez visiter!,,,,,,
KEY_MARKETPLACE_SPECIAL_VEHICLES,Text,,Great prices on vehicles and equipment for them! ,,Des prix avantageux sur les véhicules et les équipements pour eux !,,,,,,
KEY_MARKETPLACE_SPECIAL_WEAPONS,Text,,Personnel weapons special!,,Armes personnelles spéciales !,,,,,,
KEY_MARKETPLACE_SPECIAL_MERCENARY,Text,,A lot of mercs looking for work!,,Beaucoup de mercenaires cherchent du travail !,,,,,,
KEY_MARKETPLACE_SPECIAL_RESEARCH,Text,,Look at all the tech our spymasters brought!,,Regardez toute la technologie apportée par nos maîtres espions !,,,,,,
KEY_FACTION_SOLDIER_JOIN_CONFIRMATION,Text,,DO YOU WANT TO ALLOW THE SOLDIER TO JOIN US?,,VOULEZ-VOUS PERMETTRE AU SOLDAT DE NOUS REJOINDRE ?,,,,,,
DLC5/KEY_MARKETPLACE_UPDATE_DESCRIPTION,Text,,STOCK WILL ROTATE IN APPROXIMATELY ,,LE STOCK VA CHANGER DANS ENVIRON,,,,,,
KEY_DEPLOY_BASE_DEFENSE_TEXT,Text,,DEPLOY TO DEFEND BASE,,SE DÉPLOYER POUR DÉFENDRE LA BASE,,,,,,
KEY_DEPLOY_BASE_DEFENSE_TIP,Text,,Deploy the operatives at the base under attack to defend it.,,Déployez les agents de la base attaquée pour la défendre.,,,,,,
KEY_DAYS,Text,,days,,jours,,,,,,
KEY_DAY,Text,,day,,jour,,,,,,
KEY_MESSAGE_GEO_MISSION_WHILE_TRAVELLING,Text,,Can't launch mission while travelling.,,Impossible de lancer une mission en mouvement.,,,,,,
KEY_AMBUSH_SAT_SCAN_TEXT0,Text,,Satellite scans indicate increased presence of,,Les analyses satellitaires indiquent une présence accrue de,,,,,,
KEY_AMBUSH_SAT_SCAN_TEXT1,Text,,in the area,,dans la région,,,,,,
KEY_WARNING_STORAGE_EXCEEDED,Text,,You do not have enough space in storage for this operative's items! ,,Vous n'avez pas assez d'espace de stockage pour les objets de cet agent !,,,,,,